label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
spectrev1_masking_case_1,1,1,1,2,0,0,2,0.008982,0,0,0,0,0,0,1,0,1,0.004044,0,1,0,1,0.004044,0,0,0,0,0,2,1,0,3,0.013026,771.666667,974,1,36,2,1,1,0,0,0,0,184,50,43,0,0,0,0.027821,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_2,1,1,1,2,0,0,2,0.008469,0,0,0,0,0,0,1,0,1,0.003938,0,1,0,1,0.003938,0,0,0,0,0,2,1,0,3,0.012407,821.666667,1124,1,49,2,1,1,0,0,0,0,230,67,60,0,0,0,0.028288,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_3,1,1,1,2,0,0,2,0.008484,0,0,0,0,0,0,1,0,1,0.004217,0,1,0,1,0.004217,0,0,0,0,0,2,1,0,3,0.012701,821.666667,1124,1,49,2,1,1,0,0,0,0,230,67,60,0,0,0,0.02827,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_4,1,1,1,2,0,0,2,0.007903,0,0,0,0,0,0,1,0,1,0.004241,0,1,0,1,0.004241,0,0,0,0,0,2,1,0,3,0.012144,870.333333,1198,1,40,2,1,1,0,0,0,0,228,59,52,0,0,0,0.028602,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_5,1,1,1,33,1,0,34,1.266003,0,0,0,0,0,0,15,0,15,0.536027,0,15,0,15,0.536027,0,0,0,0,0,33,16,0,49,1.80203,6361.836735,12282,15,519,17,17,17,0,0,1,0,1985,493,56,0,0,0,2.861865,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_6,1,1,1,2,0,0,2,0.008612,0,0,0,0,0,0,1,0,1,0.004364,0,1,0,1,0.004364,0,0,0,0,0,2,1,0,3,0.012976,989.333333,1207,1,43,2,1,1,0,0,0,0,256,69,62,0,0,0,0.030177,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_7,1,1,1,5,1,0,6,0.02978,0,0,0,0,0,0,1,0,1,0.004955,0,1,0,1,0.004955,0,0,0,0,0,5,2,0,7,0.034735,1003,1389,1,65,3,3,3,0,0,1,0,298,83,58,0,0,0,0.063002,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_8,1,1,1,2,0,0,2,0.008207,0,0,0,0,0,0,1,0,1,0.004757,0,1,0,1,0.004757,0,0,0,0,0,2,1,0,3,0.012964,781.333333,1003,1,48,2,1,1,0,0,0,0,264,74,49,0,0,0,0.029121,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_9,1,1,1,1,1,0,2,0.005468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0.005468,512,512,0,18,1,1,1,0,0,1,0,81,23,23,0,0,0,0.014139,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_10,1,1,1,8,0,0,8,0.042504,0,1,0,1,0.00421,0,0,0,0,0,0,1,0,1,0.00421,0,0,0,0,0,8,1,0,9,0.046714,1008.444444,1107,1,48,3,2,2,0,0,0,0,214,60,46,0,0,0,0.078316,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_11gcc,1,1,1,33,1,0,34,0.545516,0,1,0,1,0.005599,0,1,0,1,0.004422,0,2,0,2,0.010021,0,0,0,0,0,33,3,0,36,0.555537,1577.25,1697,2,60,2,4,4,0,0,3,0,304,93,80,0,0,0,0.682543,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
