test,violations,paths,addresses,spec,misforwarding,guided,trace,filename,wall_time,Running time,
spectrev1 --case case_1,1,NA,Instruction Address 0x400bac,True,False,False,False,spectrev1 --case case_1.spec.O0,4.15116075100377,0.67543405800825,
spectrev1 --case case_2,1,NA,Instruction Address 0x400c24,True,False,False,False,spectrev1 --case case_2.spec.O0,4.30138386203907,0.803267490991857,
spectrev1 --case case_3,1,NA,Instruction Address 0x400ca4,True,False,False,False,spectrev1 --case case_3.spec.O0,4.21021273196675,0.773743889003526,
spectrev1 --case case_4,1,NA,Instruction Address 0x400d07,True,False,False,False,spectrev1 --case case_4.spec.O0,4.0940550310188,0.648573830025271,
spectrev1 --case case_5,1,NA,Instruction Address 0x400d73,True,False,False,False,spectrev1 --case case_5.spec.O0,4.3392116180039,0.90642159699928,
spectrev1 --case case_6,1,NA,Instruction Address 0x400df3,True,False,False,False,spectrev1 --case case_6.spec.O0,4.35596067196457,0.811575531028211,
spectrev1 --case case_7,1,NA,Instruction Address 0x400e4c,True,False,False,False,spectrev1 --case case_7.spec.O0,4.23134079901502,0.865241413004696,
spectrev1 --case case_8,1,NA,Instruction Address 0x400ed6,True,False,False,False,spectrev1 --case case_8.spec.O0,4.16043501801323,0.864638656959869,
spectrev1 --case case_9,1,NA,Instruction Address 0x400f29,True,False,False,False,spectrev1 --case case_9.spec.O0,4.06354192295112,0.666956214990933,
spectrev1 --case case_10,1,NA,Instruction Address 0x400f82,True,False,False,False,spectrev1 --case case_10.spec.O0,4.18696413299767,0.75578864099225,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x40107a,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,4.44386623398168,0.997199645964429,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x401170,True,False,False,False,spectrev1 --case case_11ker.spec.O0,4.36677447502734,1.06692564499099,
spectrev1 --case case_11sub,2,NA,"Instruction Address 0x401294,Instruction Address 0x4012d9",True,False,False,False,spectrev1 --case case_11sub.spec.O0,4.68200247798814,1.41551900905324,
spectrev1 --case case_12,1,NA,Instruction Address 0x401328,True,False,False,False,spectrev1 --case case_12.spec.O0,4.17611978203058,0.822753779008053,
spectrev1 --case case_13,1,NA,Instruction Address 0x4013a1,True,False,False,False,spectrev1 --case case_13.spec.O0,4.58712839300279,1.02504755702103,
spectrev1 --case case_14,1,NA,Instruction Address 0x401417,True,False,False,False,spectrev1 --case case_14.spec.O0,4.14035443699686,0.794259955990128,
tea ,0,NA,,True,False,False,False,tea .spec.O0,15.6129045269918,12.1334672700032,
tea ,timeout,NA,NA,True,True,False,False,tea .spec.misforwarding.O0,3600,NA,
spectrev4 --case case_1,3,NA,"Instruction Address 0x400bbe,Instruction Address 0x400bc6,Instruction Address 0x400bdd",True,True,False,False,spectrev4 --case case_1.spec.misforwarding.O0,755.067425830988,751.36582928896,
spectrev4 --case case_2,1,NA,Instruction Address 0x400c2c,True,True,False,False,spectrev4 --case case_2.spec.misforwarding.O0,17.4687746090349,13.7551402089885,
spectrev4 --case case_3,1,NA,Instruction Address 0x400c7c,True,True,False,False,spectrev4 --case case_3.spec.misforwarding.O0,16.727878292033,12.8357312610024,
spectrev4 --case case_4,1,NA,Instruction Address 0x400cd9,True,True,False,False,spectrev4 --case case_4.spec.misforwarding.O0,53.9141691729892,50.0247950589983,
spectrev4 --case case_5,1,NA,Instruction Address 0x400d4a,True,True,False,False,spectrev4 --case case_5.spec.misforwarding.O0,58.1676915579592,54.5593810310238,
spectrev4 --case case_6,1,NA,Instruction Address 0x400dbc,True,True,False,False,spectrev4 --case case_6.spec.misforwarding.O0,56.6317635599989,52.7002190480125,
spectrev4 --case case_7,1,NA,Instruction Address 0x400e1a,True,True,False,False,spectrev4 --case case_7.spec.misforwarding.O0,24.3767058419762,20.8860564409988,
spectrev4 --case case_8,1,NA,Instruction Address 0x400e75,True,True,False,False,spectrev4 --case case_8.spec.misforwarding.O0,15.4132976140245,11.6499425259535,
spectrev4 --case case_10,2,NA,"Instruction Address 0x40100b,Instruction Address 0x401019",True,True,False,False,spectrev4 --case case_10.spec.misforwarding.O0,341.318057027005,337.563286265009,
spectrev4 --case case_11,1,NA,Instruction Address 0x401090,True,True,False,False,spectrev4 --case case_11.spec.misforwarding.O0,522.742230108008,518.885857774003,
spectrev4 --case case_12,2,NA,"Instruction Address 0x4010db,Instruction Address 0x4010e9",True,True,False,False,spectrev4 --case case_12.spec.misforwarding.O0,335.170533809986,331.526986398036,
spectrev4 --case case_13,1,NA,Instruction Address 0x401130,True,True,False,False,spectrev4 --case case_13.spec.misforwarding.O0,536.489838626992,532.743497482035,
spectrev4 --case case_9_bis,timeout,NA,NA,True,True,False,False,spectrev4 --case case_9_bis.spec.misforwarding.O0,3600,NA,
secretbox ,1,NA,Instruction Address 0x467204,True,False,False,False,secretbox .spec.O0,6.67004414397525,5.40245406900067,
secretbox ,0,NA,,True,False,False,False,secretbox .spec.O0,2.30543177603977,0.77610952896066,
secretbox ,0,NA,,True,False,False,False,secretbox .spec.O0,1.95638274599332,0.640438533038832,
secretbox ,0,NA,,True,False,False,False,secretbox .spec.O0,3.62911964900559,2.28623101097764,
secretbox ,0,NA,,True,False,False,False,secretbox .spec.O0,6.46690285700606,5.176667763968,
secretbox ,0,NA,,True,False,False,False,secretbox .spec.O0,1.96030897297896,0.638684264966287,
secretbox ,1,NA,Instruction Address 0x467204,True,False,False,False,secretbox .spec.O0,6.82275460101664,5.55681014899164,
poly1305 ,0,NA,,True,False,False,False,poly1305 .spec.O0,19.2182634799974,12.9180240569985,
tea_O0,0,NA,,True,False,False,False,tea .spec.O0,4.73436115799996,3.63542949300609,
tea _O1,0,NA,,True,False,False,False,tea .spec.O0,2.17215487599606,1.12828250799794,
tea_O2,0,NA,,True,False,False,False,tea .spec.O0,2.18847042300331,1.12427669799945,
tea_O3,0,NA,,True,False,False,False,tea .spec.O0,2.14885450599832,1.14303297799779,
tea_fast,0,NA,,True,False,False,False,tea .spec.O0,2.19445700899814,1.14883466099855,
tea_fast,0,NA,,True,True,False,False,tea .spec.misforwarding.O0,14.7861399070098,13.7475093620014,
Tea_01,0,NA,,True,True,False,False,tea .spec.misforwarding.O0,14.7667765149963,13.7053567080002,
tea_O2,0,NA,,True,True,False,False,tea .spec.misforwarding.O0,14.6805491899868,13.6137234529888,
tea_O3,0,NA,,True,True,False,False,tea .spec.misforwarding.O0,15.0455689999944,14.00259610801,
GCC_O0,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400ba3,True,False,False,False,spectrev1 --case case_1.spec.O0,1.29970169800799,0.26269993497408,
spectrev1 --case case_2,1,NA,Instruction Address 0x400bd3,True,False,False,False,spectrev1 --case case_2.spec.O0,0.777401537983678,0.256080538005335,
spectrev1 --case case_3,1,NA,Instruction Address 0x400c3a,True,False,False,False,spectrev1 --case case_3.spec.O0,0.767336716991849,0.226606544980314,
spectrev1 --case case_4,1,NA,Instruction Address 0x400cc2,True,False,False,False,spectrev1 --case case_4.spec.O0,0.732667753007263,0.198566045990447,
spectrev1 --case case_5,1,NA,Instruction Address 0x400d1c,True,False,False,False,spectrev1 --case case_5.spec.O0,0.616015228995821,0.185764028981794,
spectrev1 --case case_6,1,NA,Instruction Address 0x400d82,True,False,False,False,spectrev1 --case case_6.spec.O0,0.630273760005366,0.152054714009864,
spectrev1 --case case_7,1,NA,Instruction Address 0x400dce,True,False,False,False,spectrev1 --case case_7.spec.O0,0.82106311401003,0.18749195500277,11.1973884760228
spectrev1 --case case_8,1,NA,Instruction Address 0x400e37,True,False,False,False,spectrev1 --case case_8.spec.O0,0.664984756993363,0.151983074989403,
spectrev1 --case case_9,1,NA,Instruction Address 0x400e81,True,False,False,False,spectrev1 --case case_9.spec.O0,0.665273766993778,0.136818812025012,
spectrev1 --case case_10,1,NA,Instruction Address 0x400ec5,True,False,False,False,spectrev1 --case case_10.spec.O0,0.619178259017644,0.249733569973614,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x40101c,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.650591179000912,0.155583306972403,
spectrev1 --case case_11ker,1,NA,Instruction Address 0x401096,True,False,False,False,spectrev1 --case case_11ker.spec.O0,0.644964956998592,0.169638504972681,
spectrev1 --case case_11sub,2,NA,"Instruction Address 0x401118,Instruction Address 0x401109",True,False,False,False,spectrev1 --case case_11sub.spec.O0,0.61778201701236,0.184016736020567,
spectrev1 --case case_12,1,NA,Instruction Address 0x401170,True,False,False,False,spectrev1 --case case_12.spec.O0,0.529811175016221,0.192600022011902,
spectrev1 --case case_13,1,NA,Instruction Address 0x4011d4,True,False,False,False,spectrev1 --case case_13.spec.O0,0.639844920980977,0.224927119008498,
spectrev1 --case case_14,1,NA,Instruction Address 0x401232,True,False,False,False,spectrev1 --case case_14.spec.O0,0.520497635006905,0.151463472022442,
GCC_O1,,,,,,,,,,,
spectrev1 --case case_1,1,NA,Instruction Address 0x400bb6,True,False,False,False,spectrev1 --case case_1.spec.O0,1.27249664501869,0.232093058002647,
spectrev1 --case case_2,1,NA,Instruction Address 0x400bea,True,False,False,False,spectrev1 --case case_2.spec.O0,0.690342489018803,0.149376993009355,
spectrev1 --case case_3,1,NA,Instruction Address 0x400b85,True,False,False,False,spectrev1 --case case_3.spec.O0,0.7142415419803,0.141748020978412,
spectrev1 --case case_4,1,NA,Instruction Address 0x400c3f,True,False,False,False,spectrev1 --case case_4.spec.O0,0.662453504017321,0.103293184016366,
spectrev1 --case case_5,1,NA,Instruction Address 0x400c77,True,False,False,False,spectrev1 --case case_5.spec.O0,0.656646348972572,0.141171890019905,
spectrev1 --case case_6,1,NA,Instruction Address 0x400cbd,True,False,False,False,spectrev1 --case case_6.spec.O0,0.607408879994182,0.104598901991267,
spectrev1 --case case_7,1,NA,Instruction Address 0x400d01,True,False,False,False,spectrev1 --case case_7.spec.O0,0.649785404006252,0.136572012008401,
spectrev1 --case case_8,0,NA,,True,False,False,False,spectrev1 --case case_8.spec.O0,1.23923096200451,0.797880679980153,
spectrev1 --case case_9,1,NA,Instruction Address 0x400d6d,True,False,False,False,spectrev1 --case case_9.spec.O0,0.494792250014143,0.151837073994102,
spectrev1 --case case_10,1,NA,Instruction Address 0x400d8c,True,False,False,False,spectrev1 --case case_10.spec.O0,0.569410710013472,0.1247490849928,
spectrev1 --case case_11gcc,1,NA,Instruction Address 0x400dcc,True,False,False,False,spectrev1 --case case_11gcc.spec.O0,0.454040534008527,0.0994056279887445,
